post_id,post_date,post_time,platform,post_type,likes,comments,shares,reach,caption_length,hashtags_count
IG052,2024-10-03,21:00,Instagram,Reel,354,26,7,5222,117,12
IG080,2024-10-04,17:00,Instagram,Carousel,240,9,28,1737,199,28
IG090,2024-10-06,19:00,Instagram,Post,241,36,7,2068,176,16
IG027,2024-10-08,20:00,Instagram,Post,129,25,15,1561,286,19
IG067,2024-10-11,18:00,Instagram,Reel,465,67,40,2659,56,5
IG004,2024-10-13,08:00,Instagram,Carousel,118,23,29,2980,136,27
IG084,2024-10-13,19:00,Instagram,Carousel,364,53,11,2546,264,19
IG002,2024-10-15,12:00,Instagram,Carousel,94,32,29,853,117,17
IG059,2024-10-15,19:00,Instagram,Reel,368,41,49,5944,87,6
IG011,2024-10-18,17:00,Instagram,Carousel,390,9,6,2641,287,19
IG021,2024-10-19,19:00,Instagram,Carousel,374,21,25,1308,254,21
IG081,2024-10-20,19:00,Instagram,Reel,361,16,22,7990,63,6
IG008,2024-10-21,21:00,Instagram,Post,205,31,10,2527,235,10
IG062,2024-10-22,21:00,Instagram,Post,157,35,1,1323,103,16
IG064,2024-10-22,21:00,Instagram,Post,229,23,16,1135,118,17
IG063,2024-10-23,08:00,Instagram,Reel,103,48,24,5027,130,12
IG003,2024-10-24,08:00,Instagram,Post,93,17,19,2816,95,20
IG092,2024-10-24,12:00,Instagram,Reel,489,67,32,4950,89,5
IG023,2024-10-27,17:00,Instagram,Post,112,36,1,2460,132,24
IG039,2024-10-28,08:00,Instagram,Carousel,147,22,5,1717,297,13
IG053,2024-10-29,17:00,Instagram,Carousel,142,17,22,906,260,19
IG077,2024-10-29,12:00,Instagram,Post,278,28,1,2539,120,8
IG005,2024-10-31,21:00,Instagram,Post,82,40,19,1240,243,14
IG009,2024-10-31,11:00,Instagram,Post,107,34,14,1901,90,10
IG079,2024-10-31,08:00,Instagram,Carousel,223,30,10,2029,340,16
IG087,2024-10-31,11:00,Instagram,Reel,292,74,56,2415,113,12
IG093,2024-11-02,20:00,Instagram,Reel,581,10,9,6610,100,19
IG015,2024-11-05,21:00,Instagram,Carousel,262,27,27,1840,345,17
IG072,2024-11-07,17:00,Instagram,Reel,216,11,35,6888,57,20
IG016,2024-11-08,11:00,Instagram,Reel,318,11,36,3700,125,10
IG044,2024-11-09,18:00,Instagram,Carousel,179,13,32,1285,156,13
IG025,2024-11-12,12:00,Instagram,Reel,594,52,45,6162,78,11
IG013,2024-11-13,20:00,Instagram,Post,141,21,5,741,269,15
IG089,2024-11-14,09:00,Instagram,Reel,324,57,21,4415,122,11
IG034,2024-11-19,12:00,Instagram,Carousel,178,18,21,814,228,17
IG041,2024-11-21,20:00,Instagram,Post,274,35,8,2581,258,24
IG048,2024-11-28,09:00,Instagram,Carousel,185,22,5,1044,331,15
IG026,2024-12-01,12:00,Instagram,Carousel,315,36,25,1518,287,10
IG056,2024-12-02,09:00,Instagram,Carousel,382,32,34,3396,239,22
IG061,2024-12-02,17:00,Instagram,Reel,445,33,5,3584,92,17
IG055,2024-12-04,08:00,Instagram,Reel,597,80,17,7805,115,20
IG042,2024-12-06,12:00,Instagram,Carousel,120,31,10,2533,200,24
IG017,2024-12-07,11:00,Instagram,Reel,458,50,13,5232,138,6
IG070,2024-12-07,12:00,Instagram,Reel,551,73,59,3690,98,7
IG073,2024-12-08,09:00,Instagram,Carousel,161,48,34,3535,174,26
IG049,2024-12-09,19:00,Instagram,Post,237,12,18,1559,211,23
IG074,2024-12-13,20:00,Instagram,Post,132,22,3,985,201,8
IG075,2024-12-14,21:00,Instagram,Post,167,27,7,2340,133,10
IG086,2024-12-16,17:00,Instagram,Reel,324,48,35,5127,121,17
IG097,2024-12-16,12:00,Instagram,Post,163,17,20,2089,80,8
IG007,2024-12-20,20:00,Instagram,Post,183,18,6,1981,258,15
IG043,2024-12-20,12:00,Instagram,Reel,154,37,47,5308,88,8
IG001,2024-12-22,19:00,Instagram,Carousel,74,9,9,3366,193,28
IG046,2024-12-26,18:00,Instagram,Reel,174,56,6,4409,93,19
IG091,2024-12-26,20:00,Instagram,Post,214,11,17,1636,215,14
IG024,2025-01-01,21:00,Instagram,Reel,385,21,49,2021,83,16
IG028,2025-01-02,09:00,Instagram,Reel,561,35,26,3658,76,20
IG006,2025-01-04,09:00,Instagram,Reel,141,36,36,6423,137,18
IG083,2025-01-04,19:00,Instagram,Post,234,38,18,618,132,10
IG030,2025-01-08,12:00,Instagram,Post,121,30,11,2458,102,20
IG014,2025-01-10,20:00,Instagram,Reel,250,67,30,2460,120,13
IG045,2025-01-10,11:00,Instagram,Carousel,164,15,30,3435,231,22
IG058,2025-01-12,08:00,Instagram,Carousel,57,9,19,1231,210,15
IG047,2025-01-21,19:00,Instagram,Post,294,21,17,1857,96,11
IG094,2025-01-23,09:00,Instagram,Reel,238,29,38,3633,137,8
IG088,2025-01-24,20:00,Instagram,Carousel,121,40,15,2450,162,12
IG018,2025-01-25,21:00,Instagram,Carousel,253,30,28,2307,126,25
IG060,2025-01-26,17:00,Instagram,Reel,83,43,28,5452,92,15
IG031,2025-01-27,09:00,Instagram,Reel,242,31,13,7737,53,9
IG022,2025-01-30,20:00,Instagram,Reel,571,71,24,5617,60,9
IG071,2025-01-31,17:00,Instagram,Carousel,73,44,15,3841,119,29
IG085,2025-02-02,21:00,Instagram,Reel,254,70,31,2842,93,14
IG078,2025-02-03,19:00,Instagram,Post,102,29,12,1736,176,18
IG069,2025-02-06,09:00,Instagram,Carousel,319,9,33,3400,164,12
IG040,2025-02-07,08:00,Instagram,Post,256,23,20,759,209,24
IG057,2025-02-07,12:00,Instagram,Reel,430,35,58,3680,140,9
IG037,2025-02-08,20:00,Instagram,Reel,84,29,16,3300,68,20
IG054,2025-02-13,17:00,Instagram,Post,286,14,9,2325,168,8
IG098,2025-02-15,20:00,Instagram,Reel,403,41,35,4082,117,12
IG033,2025-02-18,08:00,Instagram,Reel,185,77,52,7750,67,18
IG099,2025-02-18,19:00,Instagram,Reel,394,17,6,7572,74,20
IG010,2025-02-20,18:00,Instagram,Post,209,34,19,1893,284,22
IG066,2025-02-23,08:00,Instagram,Carousel,349,50,17,3511,121,10
IG076,2025-02-26,21:00,Instagram,Reel,448,26,43,3944,130,13
IG035,2025-02-28,21:00,Instagram,Reel,214,17,52,5232,95,19
IG032,2025-03-01,11:00,Instagram,Carousel,355,35,25,3205,139,27
IG020,2025-03-03,08:00,Instagram,Reel,234,78,11,6443,96,5
IG038,2025-03-08,21:00,Instagram,Post,196,36,17,752,222,23
IG065,2025-03-08,08:00,Instagram,Post,249,35,5,2601,214,24
IG029,2025-03-09,08:00,Instagram,Carousel,384,27,8,2663,313,13
IG068,2025-03-10,12:00,Instagram,Post,165,3,15,2504,284,10
IG019,2025-03-12,12:00,Instagram,Reel,293,66,15,2351,64,15
IG051,2025-03-12,17:00,Instagram,Reel,307,18,21,2486,65,19
IG012,2025-03-15,20:00,Instagram,Post,227,25,1,1665,198,19
IG096,2025-03-15,11:00,Instagram,Post,300,30,4,1531,105,10
IG036,2025-03-19,21:00,Instagram,Post,286,11,18,2222,118,24
IG082,2025-03-19,11:00,Instagram,Reel,352,65,37,3842,90,11
IG100,2025-03-22,09:00,Instagram,Post,146,30,12,1553,138,23
IG050,2025-03-29,17:00,Instagram,Reel,267,64,9,2271,84,5
IG095,2025-03-29,20:00,Instagram,Post,50,3,5,848,139,9
